,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
83,tt0763831,A Thousand Words,A Thousand Words,2012,91.0,"['Comedy', 'Drama']",1,"Mar 9, 2012",A Thousand Words,40000000.0,18450127.0,20790486.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-19209514.0
84,tt0770703,What's Your Number?,What's Your Number?,2011,106.0,"['Comedy', 'Romance']",24,"Sep 30, 2011",What's Your Number?,20000000.0,14011084.0,30163785.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10163785.0
85,tt0770802,Samsara,Samsara,2011,102.0,"['Documentary', 'Music']",18,"Aug 24, 2012",Samsara,4000000.0,2672413.0,5966671.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1966671.0
86,tt0770828,Man of Steel,Man of Steel,2013,143.0,"['Action', 'Adventure', 'Sci-Fi']",29,"Jun 14, 2013",Man of Steel,225000000.0,291045518.0,667999518.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,442999518.0
87,tt0775489,The Illusionist,L'illusionniste,2010,80.0,"['Animation', 'Drama']",22,"Aug 18, 2006",The Illusionist,16500000.0,39868642.0,83792062.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,67292062.0
88,tt4334706,The Illusionist,The Illusionist,2015,55.0,"['Biography', 'Documentary']",22,"Aug 18, 2006",The Illusionist,16500000.0,39868642.0,83792062.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,67292062.0
89,tt7821100,The Illusionist,The Illusionist,2016,,['Documentary'],22,"Aug 18, 2006",The Illusionist,16500000.0,39868642.0,83792062.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,67292062.0
90,tt0780504,Drive,Drive,2011,100.0,"['Crime', 'Drama']",36,"Sep 16, 2011",Drive,15000000.0,35060689.0,81357930.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,66357930.0
91,tt1709105,Drive,Drive,2010,55.0,['Documentary'],36,"Sep 16, 2011",Drive,15000000.0,35060689.0,81357930.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,66357930.0
92,tt4824222,Drive,Drive,2018,84.0,['Drama'],36,"Sep 16, 2011",Drive,15000000.0,35060689.0,81357930.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,66357930.0
