,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Action
551,tt1430626,6.7,41958,The Pirates! Band of Misfits,The Pirates! In an Adventure with Scientists!,2012,88.0,"Adventure,Animation,Comedy",34,"Apr 27, 2012",The Pirates! Band of Misfits,"$55,000,000","$31,051,126",136143605.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
552,tt1472584,4.6,16788,Max Steel,Max Steel,2016,92.0,"Action,Adventure,Family",68,"Oct 14, 2016",Max Steel,"$10,000,000","$3,818,664",4563080.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
553,tt1491044,6.9,65571,The Iceman,The Iceman,2012,106.0,"Biography,Crime,Drama",81,"May 3, 2013",The Iceman,"$10,000,000","$1,930,282",3623609.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
554,tt1538403,5.9,121936,The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,2013,130.0,"Action,Fantasy,Horror",26,"Aug 21, 2013",The Mortal Instruments: City of Bones,"$60,000,000","$31,165,421",75965567.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
555,tt1588334,6.5,60070,"Jeff, Who Lives at Home","Jeff, Who Lives at Home",2011,83.0,"Comedy,Drama",65,"Mar 16, 2012","Jeff, Who Lives at Home","$10,000,000","$4,269,426",4708127.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
556,tt1606378,5.3,188383,A Good Day to Die Hard,A Good Day to Die Hard,2013,98.0,"Action,Thriller",34,"Feb 14, 2013",A Good Day to Die Hard,"$92,000,000","$67,349,198",304249198.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
557,tt1621045,6.6,41043,Think Like a Man,Think Like a Man,2012,122.0,"Comedy,Romance",45,"Apr 20, 2012",Think Like a Man,"$12,000,000","$91,547,205",113373764.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
558,tt1631867,7.9,546284,Edge of Tomorrow,Edge of Tomorrow,2014,113.0,"Action,Sci-Fi",95,"Jun 6, 2014",Edge of Tomorrow,"$178,000,000","$100,206,256",370541256.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
559,tt1646987,5.7,172330,Wrath of the Titans,Wrath of the Titans,2012,99.0,"Action,Adventure,Fantasy",87,"Mar 30, 2012",Wrath of the Titans,"$150,000,000","$83,670,083",305270083.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
560,tt1659337,8.0,422671,The Perks of Being a Wallflower,The Perks of Being a Wallflower,2012,103.0,Drama,77,"Sep 21, 2012",The Perks of Being a Wallflower,"$13,000,000","$17,742,948",33069303.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
561,tt1666335,5.8,7350,The Calling,The Calling,2014,108.0,"Drama,Thriller",43,"Dec 31, 2009",The Calling,"$2,500,000",$0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
562,tt1666335,5.8,7350,The Calling,The Calling,2014,108.0,"Drama,Thriller",55,"Mar 1, 2002",The Calling,"$160,000","$32,092",32092.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
563,tt1667889,6.6,175601,Ice Age: Continental Drift,Ice Age: Continental Drift,2012,88.0,"Adventure,Animation,Comedy",14,"Jul 13, 2012",Ice Age: Continental Drift,"$95,000,000","$161,321,843",879765137.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
564,tt1703199,6.1,48125,Grave Encounters,Grave Encounters,2011,92.0,Horror,76,"Sep 9, 2011",Grave Encounters,"$2,000,000",$0,2151887.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
565,tt1758692,6.7,55841,Like Crazy,Like Crazy,2011,86.0,"Drama,Romance",74,"Oct 28, 2011",Like Crazy,"$250,000","$3,395,391",3728400.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
